task_id,seed,aligned_k1_success,historical_jepa_k8_success,paired_change,aligned_k1_future_video_psnr_db,historical_jepa_future_video_psnr_db
410,7,1,1,unchanged_success,27.0903,26.3852
410,17,1,1,unchanged_success,25.6726,27.0604
410,27,0,1,rescue,25.1633,26.2829
410,37,0,0,unchanged_failure,26.0844,25.9831
662,7,0,0,unchanged_failure,25.5815,26.7073
662,17,0,0,unchanged_failure,26.4481,25.6597
662,27,0,0,unchanged_failure,26.3084,26.2068
662,37,0,0,unchanged_failure,25.7184,25.9481
457,7,0,0,unchanged_failure,27.9362,27.1607
457,17,0,1,rescue,27.1819,30.5938
457,27,0,0,unchanged_failure,27.1581,27.0767
457,37,0,0,unchanged_failure,29.3984,27.5316
