task_id,seed,aligned_k1_success,old_two_call_jepa_success,new_joint_k8_jepa_success,new_vs_k1,new_vs_old,new_future_video_psnr_db
410,7,1,1,1,unchanged_success,unchanged_success,26.5944
410,17,1,1,0,regression,regression,25.7697
410,27,0,1,0,unchanged_failure,regression,26.0831
410,37,0,0,0,unchanged_failure,unchanged_failure,26.0464
662,7,0,0,0,unchanged_failure,unchanged_failure,25.7611
662,17,0,0,0,unchanged_failure,unchanged_failure,26.4523
662,27,0,0,0,unchanged_failure,unchanged_failure,26.3124
662,37,0,0,0,unchanged_failure,unchanged_failure,26.3182
457,7,0,0,0,unchanged_failure,unchanged_failure,29.9432
457,17,0,1,0,unchanged_failure,regression,27.4983
457,27,0,0,0,unchanged_failure,unchanged_failure,27.0344
457,37,0,0,0,unchanged_failure,unchanged_failure,29.8568
