target,variant,task_id,original_successes,jepa_successes,trials,delta
Alphabet Soup,add_10 control,1818,4,4,4,0
Alphabet Soup,pose level 1,1839,4,4,4,0
Alphabet Soup,pose level 3,1847,1,2,4,1
Alphabet Soup,pose level 5,1855,0,0,4,0
Milk,add_10 control,2037,4,4,4,0
Milk,pose level 1,2062,0,0,4,0
Milk,pose level 3,2070,0,0,4,0
Milk,pose level 5,2078,0,0,4,0
Salad Dressing,add_10 control,2131,4,4,4,0
Salad Dressing,pose level 1,2156,1,3,4,2
Salad Dressing,pose level 3,2163,4,4,4,0
Salad Dressing,pose level 5,2169,0,3,4,3
Tomato Sauce,add_10 control,2174,4,4,4,0
Tomato Sauce,pose level 1,2203,4,4,4,0
Tomato Sauce,pose level 3,2211,4,1,4,-3
Tomato Sauce,pose level 5,2217,1,0,4,-1
