Task,Description,Success Rate (%),Future Video PSNR (dB)
libero_object_1818,pick up the alphabet soup and place it in the basket add 10,100.00,28.2135
libero_object_1839,pick up the alphabet soup and place it in the basket level1 sample1,100.00,27.1301
libero_object_1847,pick up the alphabet soup and place it in the basket level3 sample1,0.00,25.0619
libero_object_1855,pick up the alphabet soup and place it in the basket level5 sample1,0.00,26.6578
libero_object_2037,pick up the milk and place it in the basket add 10,100.00,28.3815
libero_object_2062,pick up the milk and place it in the basket level1 sample1,0.00,26.3082
libero_object_2070,pick up the milk and place it in the basket level3 sample1,0.00,25.6828
libero_object_2078,pick up the milk and place it in the basket level5 sample1,0.00,26.0137
libero_object_2131,pick up the salad dressing and place it in the basket add 10,100.00,28.5709
libero_object_2156,pick up the salad dressing and place it in the basket level1 sample1,100.00,26.8821
libero_object_2163,pick up the salad dressing and place it in the basket level3 sample1,100.00,25.7385
libero_object_2169,pick up the salad dressing and place it in the basket level5 sample1,100.00,24.1552
libero_object_2174,pick up the tomato sauce and place it in the basket add 10,100.00,26.9684
libero_object_2203,pick up the tomato sauce and place it in the basket level1 sample1,100.00,27.4920
libero_object_2211,pick up the tomato sauce and place it in the basket level3 sample1,100.00,25.2904
libero_object_2217,pick up the tomato sauce and place it in the basket level5 sample1,0.00,24.8878
