target,variant,task_id,successes,trials,success_rate,completed_seeds,videos
Alphabet Soup,add_10 control,1818,4,4,1.0,7;17;27;37,seed_7/libero_object/videos/2026_09_07-15_42_31--episode=task1818_trial0--success=True--task=pick_up_the_alphabet_soup_and_place_it_in_the_bask.mp4;seed_17/libero_object/videos/2026_09_07-15_59_42--episode=task1818_trial0--success=True--task=pick_up_the_alphabet_soup_and_place_it_in_the_bask.mp4;seed_27/libero_object/videos/2026_09_07-16_12_34--episode=task1818_trial0--success=True--task=pick_up_the_alphabet_soup_and_place_it_in_the_bask.mp4;seed_37/libero_object/videos/2026_09_07-16_28_14--episode=task1818_trial0--success=True--task=pick_up_the_alphabet_soup_and_place_it_in_the_bask.mp4
Alphabet Soup,pose level 1,1839,4,4,1.0,7;17;27;37,seed_7/libero_object/videos/2026_09_07-15_42_31--episode=task1839_trial0--success=True--task=pick_up_the_alphabet_soup_and_place_it_in_the_bask.mp4;seed_17/libero_object/videos/2026_09_07-15_59_42--episode=task1839_trial0--success=True--task=pick_up_the_alphabet_soup_and_place_it_in_the_bask.mp4;seed_27/libero_object/videos/2026_09_07-16_12_34--episode=task1839_trial0--success=True--task=pick_up_the_alphabet_soup_and_place_it_in_the_bask.mp4;seed_37/libero_object/videos/2026_09_07-16_28_14--episode=task1839_trial0--success=True--task=pick_up_the_alphabet_soup_and_place_it_in_the_bask.mp4
Alphabet Soup,pose level 3,1847,2,4,0.5,7;17;27;37,seed_7/libero_object/videos/2026_09_07-15_42_31--episode=task1847_trial0--success=True--task=pick_up_the_alphabet_soup_and_place_it_in_the_bask.mp4;seed_17/libero_object/videos/2026_09_07-15_59_42--episode=task1847_trial0--success=False--task=pick_up_the_alphabet_soup_and_place_it_in_the_bask.mp4;seed_27/libero_object/videos/2026_09_07-16_12_34--episode=task1847_trial0--success=False--task=pick_up_the_alphabet_soup_and_place_it_in_the_bask.mp4;seed_37/libero_object/videos/2026_09_07-16_28_14--episode=task1847_trial0--success=True--task=pick_up_the_alphabet_soup_and_place_it_in_the_bask.mp4
Alphabet Soup,pose level 5,1855,0,4,0.0,7;17;27;37,seed_7/libero_object/videos/2026_09_07-15_42_31--episode=task1855_trial0--success=False--task=pick_up_the_alphabet_soup_and_place_it_in_the_bask.mp4;seed_17/libero_object/videos/2026_09_07-15_59_42--episode=task1855_trial0--success=False--task=pick_up_the_alphabet_soup_and_place_it_in_the_bask.mp4;seed_27/libero_object/videos/2026_09_07-16_12_34--episode=task1855_trial0--success=False--task=pick_up_the_alphabet_soup_and_place_it_in_the_bask.mp4;seed_37/libero_object/videos/2026_09_07-16_28_14--episode=task1855_trial0--success=False--task=pick_up_the_alphabet_soup_and_place_it_in_the_bask.mp4
Milk,add_10 control,2037,4,4,1.0,7;17;27;37,seed_7/libero_object/videos/2026_09_07-15_42_31--episode=task2037_trial0--success=True--task=pick_up_the_milk_and_place_it_in_the_basket_add_10.mp4;seed_17/libero_object/videos/2026_09_07-15_59_42--episode=task2037_trial0--success=True--task=pick_up_the_milk_and_place_it_in_the_basket_add_10.mp4;seed_27/libero_object/videos/2026_09_07-16_12_34--episode=task2037_trial0--success=True--task=pick_up_the_milk_and_place_it_in_the_basket_add_10.mp4;seed_37/libero_object/videos/2026_09_07-16_28_14--episode=task2037_trial0--success=True--task=pick_up_the_milk_and_place_it_in_the_basket_add_10.mp4
Milk,pose level 1,2062,0,4,0.0,7;17;27;37,seed_7/libero_object/videos/2026_09_07-15_42_31--episode=task2062_trial0--success=False--task=pick_up_the_milk_and_place_it_in_the_basket_level1.mp4;seed_17/libero_object/videos/2026_09_07-15_59_42--episode=task2062_trial0--success=False--task=pick_up_the_milk_and_place_it_in_the_basket_level1.mp4;seed_27/libero_object/videos/2026_09_07-16_12_34--episode=task2062_trial0--success=False--task=pick_up_the_milk_and_place_it_in_the_basket_level1.mp4;seed_37/libero_object/videos/2026_09_07-16_28_14--episode=task2062_trial0--success=False--task=pick_up_the_milk_and_place_it_in_the_basket_level1.mp4
Milk,pose level 3,2070,0,4,0.0,7;17;27;37,seed_7/libero_object/videos/2026_09_07-15_42_31--episode=task2070_trial0--success=False--task=pick_up_the_milk_and_place_it_in_the_basket_level3.mp4;seed_17/libero_object/videos/2026_09_07-15_59_42--episode=task2070_trial0--success=False--task=pick_up_the_milk_and_place_it_in_the_basket_level3.mp4;seed_27/libero_object/videos/2026_09_07-16_12_34--episode=task2070_trial0--success=False--task=pick_up_the_milk_and_place_it_in_the_basket_level3.mp4;seed_37/libero_object/videos/2026_09_07-16_28_14--episode=task2070_trial0--success=False--task=pick_up_the_milk_and_place_it_in_the_basket_level3.mp4
Milk,pose level 5,2078,0,4,0.0,7;17;27;37,seed_7/libero_object/videos/2026_09_07-15_42_31--episode=task2078_trial0--success=False--task=pick_up_the_milk_and_place_it_in_the_basket_level5.mp4;seed_17/libero_object/videos/2026_09_07-15_59_42--episode=task2078_trial0--success=False--task=pick_up_the_milk_and_place_it_in_the_basket_level5.mp4;seed_27/libero_object/videos/2026_09_07-16_12_34--episode=task2078_trial0--success=False--task=pick_up_the_milk_and_place_it_in_the_basket_level5.mp4;seed_37/libero_object/videos/2026_09_07-16_28_14--episode=task2078_trial0--success=False--task=pick_up_the_milk_and_place_it_in_the_basket_level5.mp4
Salad Dressing,add_10 control,2131,4,4,1.0,7;17;27;37,seed_7/libero_object/videos/2026_09_07-15_42_31--episode=task2131_trial0--success=True--task=pick_up_the_salad_dressing_and_place_it_in_the_bas.mp4;seed_17/libero_object/videos/2026_09_07-15_59_42--episode=task2131_trial0--success=True--task=pick_up_the_salad_dressing_and_place_it_in_the_bas.mp4;seed_27/libero_object/videos/2026_09_07-16_12_34--episode=task2131_trial0--success=True--task=pick_up_the_salad_dressing_and_place_it_in_the_bas.mp4;seed_37/libero_object/videos/2026_09_07-16_28_14--episode=task2131_trial0--success=True--task=pick_up_the_salad_dressing_and_place_it_in_the_bas.mp4
Salad Dressing,pose level 1,2156,3,4,0.75,7;17;27;37,seed_7/libero_object/videos/2026_09_07-15_42_31--episode=task2156_trial0--success=False--task=pick_up_the_salad_dressing_and_place_it_in_the_bas.mp4;seed_17/libero_object/videos/2026_09_07-15_59_42--episode=task2156_trial0--success=True--task=pick_up_the_salad_dressing_and_place_it_in_the_bas.mp4;seed_27/libero_object/videos/2026_09_07-16_12_34--episode=task2156_trial0--success=True--task=pick_up_the_salad_dressing_and_place_it_in_the_bas.mp4;seed_37/libero_object/videos/2026_09_07-16_28_14--episode=task2156_trial0--success=True--task=pick_up_the_salad_dressing_and_place_it_in_the_bas.mp4
