target,variant,task_id,successes,trials,success_rate,completed_seeds,videos
Alphabet Soup,add_10 control,1818,0,0,,,
Alphabet Soup,pose level 1,1839,0,0,,,
Alphabet Soup,pose level 3,1847,0,0,,,
Alphabet Soup,pose level 5,1855,0,0,,,
Milk,add_10 control,2037,0,0,,,
Milk,pose level 1,2062,0,0,,,
Milk,pose level 3,2070,0,0,,,
Milk,pose level 5,2078,0,0,,,
Salad Dressing,add_10 control,2131,0,0,,,
Salad Dressing,pose level 1,2156,0,0,,,
Salad Dressing,pose level 3,2163,0,0,,,
Salad Dressing,pose level 5,2169,0,0,,,
Tomato Sauce,add_10 control,2174,0,0,,,
Tomato Sauce,pose level 1,2203,0,0,,,
Tomato Sauce,pose level 3,2211,0,0,,,
Tomato Sauce,pose level 5,2217,0,0,,,
